test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
337,60000,600,680,100000,30049,29947,451486225,448426378,-432177278,963
338,60000,600,680,100000,30125,29868,453772875,446063646,-646413876,1219
339,60000,600,680,100000,29803,30187,444124306,455642578,922452035,967
340,60000,600,700,100000,29945,30046,448366485,451396081,404574746,993
341,60000,600,700,100000,29851,30144,445556026,454345440,464368796,966
342,60000,600,700,100000,29873,30124,446213001,453742750,794436131,969
343,60000,600,700,100000,29844,30154,445347090,454646935,173492651,973
344,60000,600,700,100000,30085,29909,452568655,447289095,-446238584,966
345,60000,600,700,100000,30056,29941,451696596,448246711,-374015627,962
346,60000,600,700,100000,29936,30053,448097016,451606431,263899064,964
347,60000,600,700,100000,30006,29983,450195021,449505136,-478327396,963
348,60000,600,700,100000,29935,30059,448067080,451786770,-472101836,1019
349,60000,600,700,100000,29800,30190,444034900,455733145,67175523,974
350,60000,600,720,100000,29970,30024,449115435,450735300,-192957799,964
351,60000,600,720,100000,29846,30146,445406781,454405731,-68747979,967
352,60000,600,720,100000,29927,30068,447827628,452057346,208624561,964
353,60000,600,720,100000,30127,29863,453833128,445914316,-697557954,962
354,60000,600,720,100000,29986,30009,449595091,450285045,-505237102,965
355,60000,600,720,100000,30014,29984,450435105,449535120,-278800711,961
356,60000,600,720,100000,29990,30006,449715045,450195021,-743667714,965
357,60000,600,720,100000,30093,29902,452809371,447079753,-851786811,1004
358,60000,600,720,100000,29945,30053,448366485,451606431,-161300588,969
359,60000,600,720,100000,30001,29988,450045001,449655066,-876614871,963
360,60000,600,740,100000,29857,30138,445735153,454164591,520602636,1011
361,60000,600,740,100000,30368,29628,461122896,438924006,-1054536453,963
362,60000,600,740,100000,30067,29925,452027278,447767775,-690228451,987
363,60000,600,740,100000,29962,30034,448875703,451035595,-261327696,1021
364,60000,600,740,100000,30043,29949,451305946,448486275,-759144803,963
365,60000,600,740,100000,30025,29970,450765325,449115435,-731018269,966
366,60000,600,740,100000,29942,30051,448276653,451546326,-254467021,989
367,60000,600,740,100000,30131,29861,453953646,445854591,-623031226,961
368,60000,600,740,100000,30099,29894,452989950,446840565,-665139074,966
369,60000,600,740,100000,30077,29922,452328003,447678003,-550772402,962
370,60000,600,760,100000,30044,29951,451335990,448546176,-672592198,969
371,60000,600,760,100000,30010,29988,450315055,449655066,-527836861,963
372,60000,600,760,100000,30077,29916,452328003,447498486,-694212235,963
373,60000,600,760,100000,29967,30029,449025528,450885435,-347236936,969
374,60000,600,760,100000,29867,30124,446033778,453742750,11382510,1062
375,60000,600,760,100000,29985,30006,449565105,450195021,-97878265,968
376,60000,600,760,100000,29979,30014,449385210,450435105,-630147674,966
377,60000,600,760,100000,29933,30064,448007211,451937080,-513107200,966
378,60000,600,760,100000,29820,30176,444631110,455310576,461213868,963
379,60000,600,760,100000,29908,30084,447259186,452538570,-90158965,963
380,60000,600,780,100000,30102,29889,453080253,446691105,-688443733,963
381,60000,600,780,100000,29846,30148,445406781,454466026,-34004877,965
382,60000,600,780,100000,29730,30266,441951315,458030511,655392110,983
383,60000,600,780,100000,29807,30182,444243528,455491653,400546361,964
384,60000,600,780,100000,30112,29881,453381328,446452021,-428809630,968
385,60000,600,780,100000,29717,30280,441564903,458454340,289894324,965
386,60000,600,780,100000,29905,30087,447169465,452628828,-467139290,965
387,60000,600,780,100000,29957,30038,448725903,451155741,-262776021,962
388,60000,600,780,100000,30057,29937,451726653,448126953,-736675429,964
389,60000,600,780,100000,29931,30066,447947346,451997211,-347047004,967
390,60000,600,800,100000,30039,29957,451185780,448725903,-471424044,995
391,60000,600,800,100000,29955,30036,448665990,451095666,-404294491,966
392,60000,600,800,100000,29993,29998,449805021,449955001,-50363175,965
393,60000,600,800,100000,29843,30150,445317246,454526325,-374325446,966
394,60000,600,800,100000,29854,30144,445645585,454345440,-729346627,967
395,60000,600,800,100000,29934,30066,448037145,451997211,-209041572,966
396,60000,600,800,100000,30097,29900,452929753,447019950,140254421,962
397,60000,600,800,100000,29960,30037,448815780,451125703,-401877271,963
398,60000,600,800,100000,29939,30052,448186830,451576378,46125708,972
399,60000,600,800,100000,30148,29843,454466026,445317246,-608995561,963
